Name	Type	SaveFileId	Image	Video
Visit Gordon	Main Story	Ch1b_CityZ_Met_Gordon 		
Pyg (Bleake, South Failure; Arm Chest Knee)	Pyg	SS_Pyg_Victim1Done	https://static.gosunoob.com/img/1/2015/07/The_Perfect_Crime_Batman_Arkham_Knight_1-1024x576.jpg	
Critical Strikes Upgrade	Upgrades	Unlocked_CriticalStrikes 		
Even the Odds	Main Story	Ch1b_CityZ_Suspicious_Vehicle_Driver_Interrogated 		
Ivy	Main Story	Ch1bc_CityZ_Light_Tank_Reinforcements_Destroyed 		
Diagnostics	Main Story	Ch1_CityZ_Battle_Mode_Tutorial_Complete 		
PanessaTankFight	Main Story	Ch1b_CityZ_All_Light_Tanks_Destroyed 		
Pyg (Bleake, MerchantBridge; Ear Abdomen Hip)	Pyg	SS_Pyg_Victim2Done	https://static.gosunoob.com/img/1/2015/07/Batman_Arkham_Knight_The_Perfect_Crime_Bleake_Island_1-1024x576.jpg	
IvyToGCPD	Main Story	Ch1bc_CityZ_Gordon_Ivy_Convo_done 		
Clock Tower (Main Story)	Main Story	Ch1c2_Clocktower_C1_Meet_Oracle_Cine_Complete 		
Panessa Antenna (Main Story)	Main Story	Ch2_CityZ_10_Batman_On_Movie_Studios		
Power Antenna (Main Story)	Main Story	Ch2_CityZ_10_Powering_Up_Antenna_01_Complete 		
2nd Antenna (Main Story)	Main Story	Ch2_CityZ_18_Second_Antenna_Activated 		
Ace Chemicals (Main Story)	Main Story	ACE_Ch3_BridgeDestroyed 		
Escort Gordon to Clock Tower (Main Story)	Main Story	Ch3a_CityZ_Protect_Gordon_Chase_Started     		
Track Oracle (Main Story)	Main Story	Ch3b_TireTrailActive 		
Riddler Orphanage 1	Riddler Mission	Orphan_A1_Intro_Robots_Done 		
Pyg (Miagani, NearFoundersIsland; Torso Eye Arm)	Pyg	SS_Pyg_Victim4Done 		
Pyg (Miagani, NearMercyBridge; Chest Arm Toe)	Pyg	SS_Pyg_Victim3Done 		
Multiground Takedown Upgrade	Upgrades	Unlocked_MultiGroundTakedown		
Investigate Oracle Crash	Main Story	Ch3_CityX_08_APC_Forensics_Complete		
Firefly (Miagani Island, Bristol Fire Station near Fairgrounds)	Firefly	SS_Firefly_CityX_Complete 	https://static.gosunoob.com/img/1/2015/07/miagani-island-bristol-fire-station-1024x576.jpg	
Azrael 1 (Near Parking, use map)	Azrael	SS_Azrael_Fight1_Complete 		
First Cache Destroyed (Near Parking)	Main Story	Penguin_Cache_Completed 		
Afterburner Recharge 1	Upgrades	Unlocked_BmblBoostCharge1		
Afterburner Recharge 2	Upgrades	Unlocked_BmblBoostCharge2		
Firefly (Bleake Island, Fire Station by Water Near GCPD)	Firefly	SS_Firefly_CityZ_Complete 	https://static.gosunoob.com/img/1/2015/07/bleake-island-cauldron-fire-station-1024x576.jpg	
Stagg Scarecrow	Main Story	CH4_StaggB3_Scarecrow_Defeated 		
GCPD/Ivy/Cobras	Main Story	Ch5b_CityZ_17_Heavy_Tank_Scanning_Complete 		
Cobra Lure Upgrade	Upgrades	Unlocked_BmblHeavyCannonLure		
Wayne Tower Tank Fight	Main Story	Ch5b_WayneTower_Tanks_Complete 		
Use Sonar	Main Story	Ch5b_ProtectIvyPlantSiteX_ObjectiveComplete 		
Two Face Bank 1 (Bleake)	Two Face	Bank01_Empty 		
Collect Freeze Blast	Gadget	Equip_FreezeSpray 		
Drone + Radar 1 (Main Story)	Main Story	Ch5c_CityY_Radar_1_Destroyed 		
Two Face Bank 2 (Founders)	Two Face	Bank02_Empty 		
Azrael 2 (near firefly, use map)	Azrael	SS_Azrael_Fight2_Complete		
Radar 2 (Main Story)	Main Story	Ch5c_CityY_Radar_2_Destroyed 		
Long Range Missle Launcher (Main Story)	Main Story	CityY_Missile_Launcher_2_Dead 		
Pyg (Founders, EastNearWater; leg abdomen skull)	Pyg	SS_Pyg_Victim5Done 	https://static.gosunoob.com/img/1/2015/07/Batman_Arkham_Knight_Unidentified_Body_The_Perfect_Crime_1-1024x576.jpg	
Pyg (Founders, North; Thigh Shoulder Hand)	Pyg	SS_Pyg_Victim6Done	https://static.gosunoob.com/img/1/2015/07/Batman_Arkham_Knight_The_Perfect_Crime_Body_Founders_Island_1-1024x576.jpg	
Panessa	Main Story	Ch6_CityZ_MovieStudioRoof_VoiceSynth_Obtained 		
Trigger Hush	Main Story	SS_Hush_WayneTower		
Azrael 3 (Roundabout, use map)	Azrael	SS_Azrael_Fight3_Complete		
Cloudless	Main Story	Ch7a_Stagg_A1_Return_To_Batmobile 		
Manbat blood sample	Manbat	SS_ManBat_SampleTaken 		
Cannon Reload Speed upgrade	Upgrades	Unlocked_BmblHeavyCannonReload		
Tank Head Shot Upgrade	Upgrades	Unlocked_BmblHeavyCannonHeadShot 		
Tank Body Shot Upgrade	Upgrades	Unlocked_BmblHeavyCannonBodyShot 		
Cloudburst	Main Story	Post_Cloudburst_Restart_Rioting		
Manbat Lab (use map)	ManBat	SS_ManBat_CreatedCure 		
Manbat Give Medicine	ManBat	SS_ManBat_Cure_FullDose1 		
Azrael 4 (LadyGotham)	Azrael	SS_Azrael_Fight4_Complete		
Reload Speed 2 Upgrade	Upgrades	Unlocked_BmblHeavyCannonReload2 		
Speak to GCPD Dude	Main Story	Ch8_Track_Gordon_Objective_Added 		
Scarecrow Done	Main Story	AK_Main_Game_Complete		
Azrael Done (5 16 28 41) 	Azrael	SS_Azrael_Clocktower_ForensicsStarted		
Deacon	Deacon	SS_Deacon_COMPLETE 		
Hush (use map)	Hush	SS_Hush_ShowdownStart 		
Two Face Bank 3 (Miagani)	Two Face	Bank03_Empty 		
Pyg Done	Pyg	SS_Pyg_InBatmobile_Dialogue 		
Manbat Done	ManBat	SS_ManBat_Cure_FullDose2 		
Firefly (Founders, Near Gothcorp)	Firefly	SS_Firefly_CityY_Complete		
Knightfall	Main Story			
