Name	Type	SaveFileId	Image	Video
Visit Gordon	Main Story	Ch1b_CityZ_Met_Gordon 		
Pyg (Bleake, South Failure; Arm Chest Knee)	Pyg	SS_Pyg_Victim1Done	https://static.gosunoob.com/img/1/2015/07/The_Perfect_Crime_Batman_Arkham_Knight_1-1024x576.jpg	https://youtu.be/0SnppYd7wSg?t=331
Critical Strikes Upgrade	Upgrades	Unlocked_CriticalStrikes 		
Even the Odds	Main Story	Ch1b_CityZ_Suspicious_Vehicle_Driver_Interrogated 		
Deacon Riddle (Chinatown)	Riddles	PickedUp_CityZ_Riddler_10	https://static.gosunoob.com/img/1/2015/06/bak-riddles-bleake-island-1024x576.jpg	
Ivy	Main Story	Ch1bc_CityZ_Light_Tank_Reinforcements_Destroyed 		
Breakable Shield (Bleake, NW Skyway)	Breakable Objects	PickedUp_CityZ_MilitiaShield_3	https://static.gosunoob.com/img/1/2015/06/bleake-island-militia-shields-1024x576.jpg	https://youtu.be/0SnppYd7wSg?t=644
Breakable Shield (Bleake, Dixon Dock)	Breakable Objects	PickedUp_CityZ_MilitiaShield_2	https://static.gosunoob.com/img/1/2015/06/bak-bleake-island-militia-shields-1024x576.jpg	
Riddler Trophy (Bleake Island, North Warehouse)	Riddler Trophies	PickedUp_CityZ_Pickup_33	https://static.gosunoob.com/img/1/2015/06/riddler-trophies-bak-bleake-1024x576.jpg	
Diagnostics	Main Story	Ch1_CityZ_Battle_Mode_Tutorial_Complete 		
Breakable Shield (Bleake Island, Center Residential Building)	Breakable Objects	PickedUp_CityZ_MilitiaShield_13 	https://static.gosunoob.com/img/1/2015/06/bak-militia-shields-first-island-1024x576.jpg	
Breakable Shield (Bleake Island, Canal)	Breakable Objects	PickedUp_CityZ_MilitiaShield_11 	https://static.gosunoob.com/img/1/2015/06/bak-destructible-locations-1024x576.jpg	
Firemen (Bleake Island, Dixon Docks)	Firemen	SS_FireCrew_0_Rescued 	https://static.gosunoob.com/img/1/2015/07/Bleake_Island_Missing_Firefighter_Batman_Arkham_Knight-1024x576.jpg	
Riddler Trophy (Bleake Island, Shipping Container)	Riddler Trophies	PickedUp_CityZ_Pickup_32	https://static.gosunoob.com/img/1/2015/06/batman-arkham-knight-bleake-island-riddler-trophies-1024x576.jpg	
Breakable Shield (Bleake Island, Right Before Panessa Fight)	Breakable Objects	PickedUp_CityZ_MilitiaShield_1 	https://static.gosunoob.com/img/1/2015/06/arkham-knight-destructibles-locations-1024x576.jpg	
PanessaTankFight	Main Story	Ch1b_CityZ_All_Light_Tanks_Destroyed 		
Breakable Shield (Bleake Island, PanessaGate)	Breakable Objects	PickedUp_CityZ_MilitiaShield_10 	https://static.gosunoob.com/img/1/2015/06/arkham-knight-destructibles-bleake-island-1024x576.jpg	
Riddler Trophy (Bleake, House Bridge Panessa)	Riddler Trophies	PickedUp_CityZ_Pickup_38 	https://static.gosunoob.com/img/1/2015/06/bak-riddler-trophy-merchant-bridge-1024x576.jpg	
Pyg (Bleake, MerchantBridge; Ear Abdomen Hip)	Pyg	SS_Pyg_Victim2Done	https://static.gosunoob.com/img/1/2015/07/Batman_Arkham_Knight_The_Perfect_Crime_Bleake_Island_1-1024x576.jpg	
Breakable Shield (Bleake Island, SEBridgePanessa)	Breakable Objects	PickedUp_CityZ_MilitiaShield_12 	https://static.gosunoob.com/img/1/2015/06/militia-shields-locations-bleake-island-gotham-1024x576.jpg	
Breakable Shield (Bleake Island, SionisCrane)	Breakable Objects	PickedUp_CityZ_MilitiaShield_8 	https://static.gosunoob.com/img/1/2015/06/gotham-city-militia-shields-map-locations-1024x576.jpg	
Riddler Trophy (Bleake, Kord building Near GCPD)	Riddler Trophies	PickedUp_CityZ_Pickup_26 	https://static.gosunoob.com/img/1/2015/06/kord-riddler-trophy-arkham-knight-1024x576.jpg	
Breakable Shield (Bleake Island, Kord building near GCPD)	Breakable Objects	PickedUp_CityZ_MilitiaShield_7 	https://static.gosunoob.com/img/1/2015/06/arkham-knight-collectible-militia-shield-250x140.jpg	
IvyToGCPD	Main Story	Ch1bc_CityZ_Gordon_Ivy_Convo_done 		
Riddler Trophy (Bleake Island, GCPD)	Riddler Trophies	PickedUp_CityZ_Pickup_30 	https://static.gosunoob.com/img/1/2015/06/arkham-knight-riddler-trophy-gcpd-250x140.jpg	
Cash's Desk Riddle	Riddles	PickedUp_CityZ_Riddler_7 	https://static.gosunoob.com/img/1/2015/06/arkham-knight-riddle-solution-aaron-cash-1024x576.jpg	
Jack Ryder Riddle	Riddles	PickedUp_CityZ_Riddler_19 	https://static.gosunoob.com/img/1/2015/06/bleake-island-riddle-solution-jack-ryder-1024x576.jpg	
Breakable Shield (Bleake, BuildingNextToClockTower/Railway)	Breakable Objects	PickedUp_CityZ_MilitiaShield_14 	https://static.gosunoob.com/img/1/2015/06/batman-arkham-knight-militia-shields-locations-1024x576.jpg	
Breakable Shield (Bleake, BuildingNorthofClockTower)	Breakable Objects	PickedUp_CityZ_MilitiaShield_6 	https://static.gosunoob.com/img/1/2015/06/militia-shields-locations-bleake-island-1024x576.jpg	
Clock Tower (Main Story)	Main Story	Ch1c2_Clocktower_C1_Meet_Oracle_Cine_Complete 		
Panessa Antenna (Main Story)	Main Story	Ch2_CityZ_10_Batman_On_Movie_Studios		
Riddler Trophy (Bleake Island, ShedNearLighthouse)	Riddler Trophies	PickedUp_CityZ_Pickup_34 	https://static.gosunoob.com/img/1/2015/06/lighthouse-riddler-trophy-arkham-knight-1024x576.jpg	
Breakable Shield (Bleake Island, MerchantBridgeNearLighthouse)	Breakable Objects	PickedUp_CityZ_MilitiaShield_9 	https://static.gosunoob.com/img/1/2015/06/arkham-knight-destructible-militia-shields-1024x576.jpg	
Riddler Trophy (Bleake Island, PathToAntenna)	Riddler Trophies	PickedUp_CityZ_Pickup_25 	https://static.gosunoob.com/img/1/2015/06/panessa-studios-bleake-island-riddler-trophy-1024x576.jpg	
Riddler Trophy (Bleake Island, Wooden WallBehind)	Riddler Trophies	PickedUp_CityZ_Pickup_23 	https://static.gosunoob.com/img/1/2015/06/bak-riddler-trophy-panessa-studios-1024x576.jpg	
Power Antenna (Main Story)	Main Story	Ch2_CityZ_10_Powering_Up_Antenna_01_Complete 		
2nd Antenna (Main Story)	Main Story	Ch2_CityZ_18_Second_Antenna_Activated 		
Riddler Trophy (Bleake Island, Train)	Riddler Trophies	PickedUp_CityZ_Pickup_8 	https://static.gosunoob.com/img/1/2015/06/falcone-shipping-riddler-trophy-1024x576.jpg	
Riddler Race 1 (Near Traintracks)	Riddler Mission	Orphan_C6_RaceComplete 	https://static.gosunoob.com/img/1/2015/07/Batman_Arkham_Knight_Riddlers_Revenge_Most_Wanted_Mission_20-1024x576.jpg	
Multiground Takedown Upgrade	Upgrades	Unlocked_MultiGroundTakedown		
Riddler Trophy (Bleake Island, Wooden Wall NearDixonDocks)	Riddler Trophies	PickedUp_CityZ_Pickup_24 	https://static.gosunoob.com/img/1/2015/06/bak-bleake-island-riddler-trophy-1024x576.jpg	
Firemen (Bleake Island, Ace)	Firemen	SS_FireCrew_1_Rescued 	https://static.gosunoob.com/img/1/2015/07/Batman_Arkham_Knight_The_Line_of_Duty_Bleake_Island-1024x576.jpg	
Riddler Trophy (Bleake Island, ShedNearAce)	Riddler Trophies	PickedUp_CityZ_Pickup_29 	https://static.gosunoob.com/img/1/2015/06/riddler-trophy-arkham-knight-bleake-island-1024x576.jpg	
Ace Lighthouse Riddle	Riddles	PickedUp_CityZ_Riddler_9 	https://static.gosunoob.com/img/1/2015/06/bleake-island-riddles-1024x576.jpg	
Riddler Trophy (Bleake Island, Ace lighthouse)	Riddler Trophies	PickedUp_CityZ_Pickup_36 	https://static.gosunoob.com/img/1/2015/06/arkham-knight-riddler-trophy-ace-chemicals-1024x576.jpg	
Riddler Trophy (Bleake Island, UnderAceBridge)	Riddler Trophies	PickedUp_CityZ_Pickup_28 	https://static.gosunoob.com/img/1/2015/06/riddler-trophy-ace-chemicals-1024x576.jpg	
Ace Chemicals (Main Story)	Main Story	ACE_Ch3_BridgeDestroyed 		
Riddler Trophy (Bleake Island, Shoot Wall NearAce)	Riddler Trophies	PickedUp_CityZ_Pickup_27 	https://static.gosunoob.com/img/1/2015/06/bleake-island-riddler-trophy-batman-1024x576.jpg	
Riddler Trophy (Bleake Island, WinchDrawerNearAce)	Riddler Trophies	PickedUp_CityZ_Pickup_10 	https://static.gosunoob.com/img/1/2015/06/ace-chemicals-riddler-trophy-1024x576.jpg	
Breakable Shield (Bleake Island, BuildingNearRiddlerTrophy)	Breakable Objects	PickedUp_CityZ_MilitiaShield_5 	https://static.gosunoob.com/img/1/2015/06/batman-arkham-knight-militia-shields-1024x576.jpg	
Breakable Shield (Bleake Island, Urbarail)	Breakable Objects	PickedUp_CityZ_MilitiaShield_4 	https://static.gosunoob.com/img/1/2015/06/arkham-knight-militia-emblem-map-location-1024x576.jpg	
Riddler Bomb (Bleake, Chinatown Skyway)	Riddler Bomb	BombRiot_Z16_Succeeded 	https://static.gosunoob.com/img/1/2015/06/Batman_Arkham_Knight_Riddler_Victim_Bleake_Island_1-1024x576.jpg	
Firemen (Bleake Island, Chinatown)	Firemen	SS_FireCrew_9_Rescued 	https://static.gosunoob.com/img/1/2015/07/Batman_Arkham_Knight_Firefighter_Location_in_Chinatown-1024x576.jpg	
Riddler Trophy (Bleake Island, WinchNearClockTower)	Riddler Trophies	PickedUp_CityZ_Pickup_7 	https://static.gosunoob.com/img/1/2015/06/arkham-knight-bleake-island-puzzle-trophy-1024x576.jpg	
Riddler Trophy (Bleake, CrappyBuildingPierClockTower)	Riddler Trophies	PickedUp_CityZ_Pickup_35 	https://static.gosunoob.com/img/1/2015/06/batman-arkham-knight-clock-tower-riddler-trophy-1024x576.jpg	
Firemen (Bleake Island, PierNearClockTower)	Firemen	SS_FireCrew_13_Rescued 	https://static.gosunoob.com/img/1/2015/07/Bleake_Island_Missing_Firefithter_Location_Bleake_Island_Batman_Arkham_Knight_1-1024x576.jpg	
Riddler Trophy (Bleake, UnderPierClockTower)	Riddler Trophies	PickedUp_CityZ_Pickup_37 	https://static.gosunoob.com/img/1/2015/06/bleake-island-riddler-trophy-clock-tower-1024x576.jpg	
Special Combo Batarang upgrade	Upgrades	Unlocked_SpecialComboBatarang		
Cannon Reload Speed upgrade	Upgrades	Unlocked_BmblHeavyCannonReload		
Escort Gordon to Clock Tower (Main Story)	Main Story	Ch3a_CityZ_Protect_Gordon_Chase_Started     		
Riddler Trophy (Bleake, GothamGas Near Panessa Bridge)	Riddler Trophies	PickedUp_CityZ_Pickup_4 	https://static.gosunoob.com/img/1/2015/06/gotham-gas-puzzle-trophy-1024x576.jpg	
Track Oracle (Main Story)	Main Story	Ch3b_TireTrailActive 		
First Bomb (Part of main story)	Bombs	SS_CommandBeacons_CityZ_15_ChD1_Ch3456789_LOD1.RCommandBeacon_1_destroyed 		
Breakable Shield (Bleake Island, GCPD)	Breakable Objects	PickedUp_CityZ_MilitiaShield_15 	https://static.gosunoob.com/img/1/2015/06/bak-collectible-militia-shields-1024x576.jpg	
Riddler Trophy (Miagani Island, UnderMercyBridge)	Riddler Trophies	PickedUp_CityX_Pickup_27 	https://static.gosunoob.com/img/1/2015/06/batman-arkham-knight-riddler-trophy-miagani-island-gcpd-1024x576.jpg	
Riddler Trophy (Miagani, Shoot Wall MercyBridge with Bmobile)	Riddler Trophies	PickedUp_CityX_Pickup_24 	https://static.gosunoob.com/img/1/2015/06/miagani-harbor-riddler-trophy-location-1024x576.jpg	
Pyg (Miagani, NearMercyBridge; Chest Arm Toe)	Pyg	SS_Pyg_Victim3Done 	https://static.gosunoob.com/img/1/2015/07/Miagani_Island_The_Perfect_Crime_Batman_Arkham_Knight_1-1024x576.jpg	
Riddler Orphanage 1	Riddler Mission	Orphan_A1_Intro_Robots_Done 		
Catwoman Riddle	Riddles	PickedUp_CityX_Riddler_8 		
Riddler Trophy (Miagani Island, OrphanageRoof)	Riddler Trophies	PickedUp_CityX_Pickup_37 	https://static.gosunoob.com/img/1/2015/06/batman-arkham-knight-riddler-trophy-miagani-island-1024x576.jpg	
Riddler Trophy (Miagani Island, Bristol Station Terrace)	Riddler Trophies	PickedUp_CityX_Pickup_29 	https://static.gosunoob.com/img/1/2015/06/miagani-island-riddler-trophy-locations-1024x576.jpg	
Riddler Trophy (Miagani Island, Bristol Station Elevator)	Riddler Trophies	PickedUp_CityX_Pickup_38 	https://static.gosunoob.com/img/1/2015/06/riddler-trophies-miagani-island-bak-1024x576.jpg	
Hospital Riddle	Riddles	PickedUp_CityX_Riddler_17 	https://static.gosunoob.com/img/1/2015/06/miagani-island-riddle-solutions-1024x576.jpg	
Riddler Trophy (Miagani Island, Botanical Lower)	Riddler Trophies	PickedUp_CityX_Pickup_30 	https://static.gosunoob.com/img/1/2015/06/arkham-knight-riddler-trophy-botanical-garden-1024x576.jpg	
Riddler Trophy (Miagani Island, Botanical Upper)	Riddler Trophies	PickedUp_CityX_Pickup_31 	https://static.gosunoob.com/img/1/2015/06/riddler-trophy-miagani-botanical-garden-1024x576.jpg	
Hell's Gate Riddle	Riddles	PickedUp_CityX_Riddler_38 	https://static.gosunoob.com/img/1/2015/06/batman-arkham-knight-miagani-island-riddles-1024x576.jpg	
Riddler Trophy (Miagani Island, Monorail Car)	Riddler Trophies	PickedUp_CityX_Pickup_39 	https://static.gosunoob.com/img/1/2015/06/bak-riddler-trophy-monorail-1024x576.jpg	
Vicki Vale Riddle	Riddles	PickedUp_CityX_Riddler_39 	https://static.gosunoob.com/img/1/2015/06/arkham-knight-riddles-billboard-1024x576.jpg	
Riddler Trophy (Miagani Island, Gotham Herald Wood Wall)	Riddler Trophies	PickedUp_CityX_Pickup_22 	https://static.gosunoob.com/img/1/2015/06/riddler-trophy-gotham-herald-1024x576.jpg	
Firemen (Miagani Island, Gotham Herald)	Firemen	SS_FireCrew_5_Rescued 	https://static.gosunoob.com/img/1/2015/07/Batman_Arkham_Knight_Missing_Firefighter_Miagani_Island-1024x576.jpg	
