Name	Type	SaveFileId	Alternate ID	Metadata	TODO
Rescue Jack Ryder	Political Prisoner	ArkhamBullyR2_JackRyder_Saved			
Rescue Catwoman	Main Story	TwofaceObjectionFinished			
Azrael (near courthouse)	Azrael	SS_Azrael_A6_Glyph3	SS_Azrael_GlyphScanned1		
Zsasz start/Church	Main Story	Ch2_Church_HarleyGone			
Camera (Park Row, by phone)	Breakable Cameras (Park Row)	PickedUp_OWA_Camera_11			
AR Training 1	AR Training	ARChallenge1_Complete			
AR Training 2	AR Training	ARChallenge2_Complete			
AR Training 3	AR Training	ARChallenge3_Complete			
AR Training 4	AR Training	ARChallenge4_Complete			
Azrael (Ferris Wheel)	Azrael	SS_Azrael_C3_Glyph2a	SS_Azrael_GlyphScanned2		
Deadshot Victim 1	Deadshot	SS_DeadShot_Hobo1Dead			
Grapnel Boost	AR Training	ARChallenge_Grapple_Boost_Collected			
Deadshot Casing Found	Deadshot	SS_DeadShot_Hobo1_BulletCasingScanned			
AR Challenge 7	AR Training	ARChallenge7_Complete			
Start Bane	Bane	SS_Bane_FirstConvo			
Jammer 3	Main Story	Ch3c_OW_D3_Jammer_Panel_3			
Titan Container (Subway)	Bane	OW_D2_ChB19.RTitanCrate_5.Broken			
Hush 1	Hush	SS_Hush_Victim1_HoboConv			
Titan Container (Bowery, Near Subway)	Bane	OW_E6_ChB19.RTitanCrate_6.Broken			
Jammer 2	Main Story	Ch3c_OW_A8_Jammer_Panel_3			
Jammer 1	Main Story	Ch3c_OW_E5_Jammer_Panel_3			
Titan Container (Museum)	Bane	Museum_C2.RTitanCrate_4.Broken			
Grundy Fight	Main Story	CH4_Museum_C1_NinjasBlood			
Titan Container (Wonder Tower)	Bane	Under_A3.RTitanCrate_3.Broken			
Azrael (Bowery)	Azrael	SS_Azrael_E6_Glyph4	SS_Azrael_GlyphScanned3		
Hush 2 (next to trophy) (do zsasz call after by dent riddle)	Hush	SS_Hush_Victim2_SceneComplete			
Camera (Park Row, Near Stripclub near courthouse)	Breakable Cameras (Park Row)	PickedUp_OWA_Camera_6			
Rescue Vicki Vale	Main Story	Ch6_OW_R7_Vicki_Vale_Rescued			
Azrael (Amusement)	Azrael	SS_Azrael_B4_Glyph1	SS_Azrael_GlyphScanned4		
Camera (Amusement, Sea Pier)	Breakable Cameras (Amusement)	PickedUp_OWB_Camera_4			
Mine Disruptor	Mine Disruptor	MuseumRear_CopOpenPlayed 			
Riddler Church	Riddler Mission	SS_Riddler_OrganScanned			
Trigger Deadshot 2 (Near Ace Chemicals)	Deadshot	SS_DeadShot_Victim2GunShot 			
Azrael Done	Azrael	SS_Azrael_FinalConversationFinished			
Nora	Freeze	SS_Nora_RoomExitUnlocked			
AR Challenge 5	AR Training	ARChallenge5_Complete			
Titan Container (Steel Mill)	Bane	Steel_C4.RTitanCrate_2.Broken			
Titan Container (Industrial)	Bane	OW_RC5_ChB1.RTitanCrate_7.Broken			
Freeze Cluster Grenade	Freeze Cluster Grenade	Ch6_ClusterBombCollected			
Clayface Fight	Main Story	Ch8_Entered_Theatre			
Deadshot Victim 2	Deadshot	SS_DeadShot_Hobo2_RustScanned			
Visit Freeze	Freeze	SS_Nora_NoraLocKnownToFreeze			
Trigger Deadshot 3 (Near Ace Chemicals)	Deadshot	SS_DeadShot_Victim3GunShot 			
Hush 3 Start (near ACE)	Hush	SS_Hush_Victim3_SceneComplete			
AR Challenge 8	AR Training	ARChallenge8_Complete			
Mad Hatter	Mad Hatter	MadHatter_KnockedOut_Check			
Hush 3 End	Hush	SS_Hush_Victim3_TrailComplete			
Deadshot Victim 3 Start	Deadshot	SS_DeadShot_Hobo3_RicochetScanned			
Riddler Courthouse Hostage	Riddler Mission	Riddler_Court_Hostage_Saved			
Hush Done	Hush	SS_Hush_Complete			
Deadshot Victim 3 End	Deadshot	SS_DeadShot_Hobo3_AmmoniaScanned			
Last Riddler Hostage/Zsasz Call	Riddler Mission	SS_Riddler_Hostage5_Saved			
Zsasz Done	Zsasz	SS_Zsasz_Confronted			
Bane Done	Bane	SS_Bane_StashCrateDestroyed			
Deadshot Done	Deadshot	SS_Deadshot_DeadshotDefeated			
AR Challenge 6	AR Training	ARChallenge6_Complete			
(Industrial, Near Subway Entrance)	Political Prisoner	ArkhamBullyOWRC3_Saved			
(Industrial, Ferris Wheel)	Political Prisoner	ArkhamBullyOWRC2a_Saved			
(Industrial, Gotham Hardware [near city wall])	Political Prisoner	ArkhamBullyOWRC1a_Saved			
(Industrial, North near ferris wheel)	Political Prisoner	ArkhamBullyOWRC2b_Saved			
(Industrial, Near Water across Hot Dog)	Political Prisoner	ArkhamBullyOWRC1b_Saved			
(Park Row, Narrow Alley near City Wall)	Political Prisoner	ArkhamBullyOWA7b_Saved			
(Park Row, Near Ace)	Political Prisoner	ArkhamBullyOWA8_Saved			
(Park Row, Between Courthouse and church)	Political Prisoner	ArkhamBullyOWA7a_Saved			
(Park Row, South West of courthouse)	Political Prisoner	ArkhamBullyOWR3_Saved			
(Park Row, Near Church)	Political Prisoner	ArkhamBullyOWA7c_Saved			
(Bowery, Behind Museum)	Political Prisoner	ArkhamBullyOWE1a_Saved			
(Bowery, Near Wonder Tower Entrance)	Political Prisoner	ArkhamBullyOWRE1_Saved			
(Bowery, Middle)	Political Prisoner	ArkhamBullyOWE4_Saved			
(Bowery, Left of Museum)	Political Prisoner	ArkhamBullyOWE5_Saved			
(Bowery, Back Right of Museum)	Political Prisoner	ArkhamBullyOWE1b_Saved			
Riddler Done	Riddler Mission	RiddlerBeaten			
