Political Prisoner	Type	Save File ID	Alternate ID	Metadata	Save file Id Prefix	Save File ID Active
(Industrial, Near Subway Entrance)	Political Prisoner	ArkhamBullyOWRC3_Saved			ArkhamBullyOWRC3	ArkhamBullyOWRC3_Active
(Industrial, Ferris Wheel)	Political Prisoner	ArkhamBullyOWRC2a_Saved			ArkhamBullyOWRC2a	ArkhamBullyOWRC2a_Active
(Industrial, Gotham Hardware [near city wall])	Political Prisoner	ArkhamBullyOWRC1a_Saved			ArkhamBullyOWRC1a	ArkhamBullyOWRC1a_Active
(Industrial, North near ferris wheel)	Political Prisoner	ArkhamBullyOWRC2b_Saved			ArkhamBullyOWRC2b	ArkhamBullyOWRC2b_Active
(Industrial, Near Water across Hot Dog)	Political Prisoner	ArkhamBullyOWRC1b_Saved			ArkhamBullyOWRC1b	ArkhamBullyOWRC1b_Active
(Park Row, Narrow Alley near City Wall)	Political Prisoner	ArkhamBullyOWA7b_Saved			ArkhamBullyOWA7b	ArkhamBullyOWA7b_Active
(Park Row, Near Ace)	Political Prisoner	ArkhamBullyOWA8_Saved			ArkhamBullyOWA8	ArkhamBullyOWA8_Active
(Park Row, Between Courthouse and church)	Political Prisoner	ArkhamBullyOWA7a_Saved			ArkhamBullyOWA7a	ArkhamBullyOWA7a_Active
(Park Row, South West of courthouse)	Political Prisoner	ArkhamBullyOWR3_Saved			ArkhamBullyOWR3	ArkhamBullyOWR3_Active
(Park Row, Near Church)	Political Prisoner	ArkhamBullyOWA7c_Saved			ArkhamBullyOWA7c	ArkhamBullyOWA7c_Active
(Bowery, Behind Museum)	Political Prisoner	ArkhamBullyOWE1a_Saved			ArkhamBullyOWE1a	ArkhamBullyOWE1a_Active
(Bowery, Near Wonder Tower Entrance)	Political Prisoner	ArkhamBullyOWRE1_Saved			ArkhamBullyOWRE1	ArkhamBullyOWRE1_Active
(Bowery, Middle)	Political Prisoner	ArkhamBullyOWE4_Saved			ArkhamBullyOWE4	ArkhamBullyOWE4_Active
(Bowery, Left of Museum)	Political Prisoner	ArkhamBullyOWE5_Saved			ArkhamBullyOWE5	ArkhamBullyOWE5_Active
(Bowery, Back Right of Museum)	Political Prisoner	ArkhamBullyOWE1b_Saved			ArkhamBullyOWE1b	ArkhamBullyOWE1b_Active
